stop_id,bus_id,name,pickup_time,address,lat,lng
150330,25115,WESTFALL PKWY & WESTFIELD WAY,Invalid,Westfall Pkwy & Westfield Way, 30040,40.65172615912441,-74.34830591082573
150738,25115,6270 LIVELY WAY,Invalid,6270 LIVELY WAY, 30040,34.171215,-84.25245699999999
151138,25115,6215 WESTFALL PKWY,Invalid,6215 WESTFALL PKWY,34.172939,-84.24276800000001
151296,25115,WESTFALLEN OVLK & WESTERLY WAY,Invalid,Westfallen Ovlk & Westerly Way, 30040,34.17065613422593,-84.24289139888617
151297,25115,WESTFALLEN OVLK & WESTBAY TER,Invalid,Westfallen Ovlk & Westbay Ter, 30040,34.169275519625685,-84.23916894380852
151399,25115,6085 HERITAGE MANOR DR,Invalid,6085 HERITAGE MANOR DR, 30040,34.165849,-84.252589
164180,25115,6770 BROOKLEIGH OVLK,Invalid,6770 Brookleigh Ovlk, 30040,34.173985,-84.23670500000003
167376,25115,6065 WILLS ORCHARD CT,Invalid,6065 WILLS ORCHARD RD, 30040,34.16474,-84.25393500000001
167411,25115,5652 WILLS ORCHARD RD,Invalid,5652 WILLS ORCHARD RD, 30040,34.161755,-84.24761899999999
175612,25115,6210 LIVELY WAY,Invalid,6210 LIVELY WAY, 30040,34.169535,-84.25253299999997
176046,25115,5706 WILLS WOOD CIR,Invalid,5706 WILLS WOOD CIR, 30040,34.16217,-84.24231700000001
176255,25115,6080 VALLEY STREAM DR,Invalid,6080 VALLEY STREAM DR, 30040,34.170574,-84.24664200000001
176594,25115,5784 WILLS WOOD CIR,Invalid,5784 WILLS WOOD CIR, 30040,34.164606,-84.24201299999999
176641,25115,5860 ROGERS RD,Invalid,5860 ROGERS RD, 30040,34.166238,-84.24780699999997
176691,25115,3805 FRANCIS CIR,Invalid,3805 FRANCIS CIR, 30004,34.148959,-84.241646
135839,25116,CANDLER WALK & CAMERON CT,Invalid,CANDLER WALK & CAMERON CT,32.55795173555951,-81.67372081428766
150668,25116,3775 ATLANTA HWY,Invalid,3775 ATLANTA HWY, 30040,34.154423,-84.20895300000001
151238,25116,CROFTSHIRE PL & ALISTAR PARK DR,Invalid,Croftshire Pl & Alister Park Dr, 30040,-31.798510108497823,149.59259301424026
151358,25116,ALISTAR PARK DR & IVANHOE WLK,Invalid,Alister Park Dr & Ivanhoe Walk, 30040,19.09740313910023,-70.30280280858278
163373,25116,OXFORD PARK LN & SUTTON PARK LN,Invalid,OXFORD PARK LN & Sutton Park Ln, 30040,51.75201323732964,-1.2578500807285309
174238,25116,OXFORD PARK LN & DORCHESTER LN,Invalid,OXFORD PARK LN & DORCHESTER LN, 30040,38.68650740183727,-76.17161091417074
175942,25116,4075 OXFORD PARK LN,Invalid,4075 Oxford Park Ln, 30040,34.156393,-84.20205599999997
134177,25117,GREYHAWK LN & KENTMERE DR,Invalid,GREYHAWK LN & KENTMERE DR,39.72161578352827,-85.77280985749735
149149,25117,ATLANTA HWY & GLEN WALLACE DR,Invalid,ATLANTA HWY & GLEN WALLACE DR, 30040,19.09740313910023,-70.30280280858278
150873,25117,WILDBROOKE PKWY & PELICAN PL,Invalid,WILDBROOKE PKWY & PELICAN PL,34.13864421051801,-84.19188579868091
150930,25117,2953 GREYHAWK LN,Invalid,2953 GREYHAWK LN, 30040,34.163669,-84.18990200000002
150931,25117,3141 LAKE DR,Invalid,3141 LAKE RD, 30040,34.160445,-84.19307900000001
150992,25117,RONALD REAGAN BLVD & SUMMIT OVERLOOK WAY,Invalid,RONALD REAGAN BLVD & Summit Overlook Way, 30041,40.71823576440877,-74.35922987759113
151339,25117,3255 ATLANTA HWY,Invalid,3255 ATLANTA HWY, 30040,34.156662,-84.19489099999998
151343,25117,WILDBROOKE PKWY & SANDPIPER LN,Invalid,WILDBROOKE PKWY & SANDPIPER LN,29.617576789486822,-98.03533232117957
151344,25117,SOARING HAWK LN & SANDERLING ST,Invalid,SOARING HAWK LN & SANDERLING ST,36.21599624981116,-75.7674103975296
151360,25117,SOARING HAWK LN & SKYLARK LN,Invalid,SOARING HAWK LN & SKYLARK LN,49.457498564858014,13.783616982400417
151452,25117,3300 SHORE DR,Invalid,3300 SHORE DR, 30040,34.164639,-84.19246199999998
164766,25117,3116 ATLANTA HWY,Invalid,3116 ATLANTA HWY, 30040,34.159745,-84.192655
172561,25117,3151 LAKE RD,Invalid,3151 LAKE RD, 30040,34.160584,-84.19333899999998
134175,25118,WHIRLAWAY DR & JONABELL LN,Invalid,WHIRLAWAY DR & JONABELL LN,28.27986769459084,-81.3216224899574
146261,25118,WAVELAND DR & COLD STREAM DR,Invalid,WAVELAND DR & COLD STREAM DR,39.3395441148637,-78.44195298850536
149144,25118,RAVINE FOREST DR & OAK VALLEY CT,Invalid,RAVINE FOREST DR & OAK VALLEY CT, 30040,32.03348790184445,-96.51304084807634
149145,25118,RIDGE FOREST WK & GREEN OAK RDG,Invalid,RIDGE FOREST WALK & GREEN OAK RDG, 30040,41.470410951717575,-79.32921915043192
149146,25118,RIDGE FOREST WK & OAK VALLEY DR,Invalid,RIDGE FOREST WALK & OAK VALLEY DR, 30040,32.03348790184445,-96.51304084807634
149147,25118,COLLINGHAM TRCE & LENBROOK CT,Invalid,COLLINGHAM TRCE & LENBROOK CT, 30040,34.16533307369781,-84.19935705140233
149194,25118,6010 TURFWAY DR,Invalid,6010 TURFWAY DR, 30040,34.170096,-84.17523299999999
149403,25118,WAVELAND DR & WAFARE CV,Invalid,WAVELAND DR & WAFARE CV, 30040,34.169888510827704,-84.17440949007869
149404,25118,6395 WAVELAND DR,Invalid,6395 WAVELAND DR, 30040,34.173265,-84.17442399999999
150179,25118,7130 MAJORS RD,Invalid,7130 MAJORS RD, 30040,34.158776,-84.19883400000003
