143667	25112	DENMARK HS	395 BRANDYWINE CIR	7:15:00 AM	395 BRANDYWINE CIR, 30004
144011	25112	DENMARK HS	HAMBY OAKS DR & OAKLAND CHSE	7:34:00 AM	HAMBY OAKS DR & OAKLAND CHSE, 30004
144012	25112	DENMARK HS	OAKSIDE DR & HAMBY OAKS DR	7:33:00 AM	OAKSIDE DR & HAMBY OAKS DR, 30004
144737	25112	DENMARK HS	WINDY HILL DR & STONEBRIER LN	7:49:00 AM	
149118	25112	DENMARK HS	OAKMONT BEND DR & BETTES CT	7:03:00 AM	OAKMONT BEND DR & BETTES CT, 30004
149150	25112	DENMARK HS	MULLINAX RD & PRESERVE LN	7:51:00 AM	MULLINAX RD & PRESERVE LN, 30004
149155	25112	DENMARK HS	OAKMONT BEND DR & BAGLEY TERRACE DR	7:01:00 AM	OAKMONT BEND DR & BAGLEY TERRACE DR, 30004
149156	25112	DENMARK HS	OAKMONT BEND DR & SHARRON POINT CT	7:00:00 AM	OAKMONT BEND DR & SHARRON POINT CT, 30004
149157	25112	DENMARK HS	OAKMONT BEND DR & MATTHEW MEADOW CT	7:02:00 AM	OAKMONT BEND DR & MATTHEW MEADOW CT, 30004
150373	25112	DENMARK HS	5875 BRADENTON RD	7:40:00 AM	5875 BRADENTON RD
150374	25112	DENMARK HS	5755 BRADENTON RD	7:41:00 AM	5755 BRADENTON RD
150375	25112	DENMARK HS	5555 BRADENTON RD	7:42:00 AM	5555 BRADENTON RD
150417	25112	DENMARK HS	710 MULLINAX RD	7:13:00 AM	710 MULLINAX RD, 30004
150445	25112	DENMARK HS	5345 ATLANTA HWY	7:38:00 AM	5345 ATLANTA HWY, 30004
151336	25112	DENMARK HS	345 BRANDYWINE CIR	7:18:00 AM	345 BRANDYWINE CIR, 30004
151359	25112	DENMARK HS	WINDY HILL DR & WINDY HILL CT	7:48:00 AM	WINDY HILL DR & WINDY HILL CT, 30004
163587	25112	DENMARK HS	BLACKWELL BEND & BARKLEY HILL	7:07:00 AM	
165956	25112	DENMARK HS	FOWLER RD & WYNGATE POINT DR	6:52:00 AM	FOWLER RD & WYNGATE POINT DR, 30004
168992	25112	DENMARK HS	BRANDYWINE CIR & BRANDYWINE CT	7:17:30 AM	BRANDYWINE CIR & BRANDYWINE CT, 30004
